"Cod_estacao"	"Data"	"Vazao"
"60436190"	"2007-03-20"	14.5873
"60436190"	"2007-03-21"	13.9508
"60436190"	"2007-03-22"	14.7161
"60436190"	"2007-03-23"	13.6997
"60436190"	"2007-03-24"	12.9583
"60436190"	"2007-03-25"	12.1161
"60436190"	"2007-03-26"	11.88
"60436190"	"2007-03-27"	11.4139
"60436190"	"2007-03-28"	10.956
"60436190"	"2007-03-29"	10.5062
"60436190"	"2007-03-30"	10.2844
"60436190"	"2007-03-31"	9.6314
"60436190"	"2007-04-01"	9.5244
"60436190"	"2007-04-02"	9.4179
"60436190"	"2007-04-03"	9.4179
"60436190"	"2007-04-04"	9.2064
"60436190"	"2007-04-05"	8.9971
"60436190"	"2007-04-06"	8.9971
"60436190"	"2007-04-07"	8.7899
"60436190"	"2007-04-08"	8.5847
"60436190"	"2007-04-09"	17.2557
"60436190"	"2007-04-10"	11.6459
"60436190"	"2007-04-11"	10.956
"60436190"	"2007-04-12"	11.1839
"60436190"	"2007-04-13"	10.2844
"60436190"	"2007-04-14"	9.4179
"60436190"	"2007-04-15"	9.1015
"60436190"	"2007-04-16"	8.7899
"60436190"	"2007-04-17"	8.7899
"60436190"	"2007-04-18"	17.5332
"60436190"	"2007-04-19"	11.4139
"60436190"	"2007-04-20"	15.499
"60436190"	"2007-04-21"	10.73
"60436190"	"2007-04-22"	10.1743
"60436190"	"2007-04-23"	12.2349
"60436190"	"2007-04-24"	10.6179
"60436190"	"2007-04-25"	10.2844
"60436190"	"2007-04-26"	10.1743
"60436190"	"2007-04-27"	19.6758
"60436190"	"2007-04-28"	9.847
"60436190"	"2007-04-29"	9.847
"60436190"	"2007-04-30"	8.9971
"60436190"	"2007-05-01"	9.2064
"60436190"	"2007-05-02"	8.8932
"60436190"	"2007-05-03"	8.687
"60436190"	"2007-05-04"	8.1808
"60436190"	"2007-05-05"	7.5909
"60436190"	"2007-05-06"	7.2083
"60436190"	"2007-05-07"	7.2083
"60436190"	"2007-05-08"	7.114
"60436190"	"2007-05-09"	7.0203
"60436190"	"2007-05-10"	6.9271
"60436190"	"2007-05-11"	7.0203
"60436190"	"2007-05-12"	6.5597
"60436190"	"2007-05-13"	6.3793
"60436190"	"2007-05-14"	6.4692
"60436190"	"2007-05-15"	6.4692
"60436190"	"2007-05-16"	6.2899
"60436190"	"2007-05-17"	5.9378
"60436190"	"2007-05-18"	5.9378
"60436190"	"2007-05-19"	6.025
"60436190"	"2007-05-20"	5.5946
"60436190"	"2007-05-21"	5.9378
"60436190"	"2007-05-22"	6.025
"60436190"	"2007-05-23"	5.8512
"60436190"	"2007-05-24"	6.4692
"60436190"	"2007-05-25"	5.8512
"60436190"	"2007-05-26"	5.7651
"60436190"	"2007-05-27"	5.6796
"60436190"	"2007-05-28"	5.5946
"60436190"	"2007-05-29"	5.7651
"60436190"	"2007-05-30"	5.4264
"60436190"	"2007-05-31"	5.5102
"60436190"	"2007-06-01"	5.6796
"60436190"	"2007-06-02"	5.5102
"60436190"	"2007-06-03"	5.3431
"60436190"	"2007-06-04"	5.5946
"60436190"	"2007-06-05"	5.2604
"60436190"	"2007-06-06"	5.4264
"60436190"	"2007-06-07"	5.2604
"60436190"	"2007-06-08"	5.0966
"60436190"	"2007-06-09"	5.2604
"60436190"	"2007-06-10"	5.2604
"60436190"	"2007-06-11"	5.5946
"60436190"	"2007-06-12"	5.1782
"60436190"	"2007-06-13"	5.0156
"60436190"	"2007-06-14"	5.2604
"60436190"	"2007-06-15"	5.0966
"60436190"	"2007-06-16"	5.0156
"60436190"	"2007-06-17"	4.9351
"60436190"	"2007-06-18"	4.9351
"60436190"	"2007-06-19"	5.1782
"60436190"	"2007-06-20"	5.0966
"60436190"	"2007-06-21"	5.0156
"60436190"	"2007-06-22"	5.0156
"60436190"	"2007-06-23"	4.9351
"60436190"	"2007-06-24"	4.9351
"60436190"	"2007-06-25"	4.7759
"60436190"	"2007-06-26"	5.0156
"60436190"	"2007-06-27"	5.0156
"60436190"	"2007-06-28"	5.0156
"60436190"	"2007-06-29"	4.9351
"60436190"	"2007-06-30"	5.2604
"60436190"	"2007-07-01"	5.0156
"60436190"	"2007-07-02"	5.2604
"60436190"	"2007-07-03"	5.0966
"60436190"	"2007-07-04"	4.8552
"60436190"	"2007-07-05"	5.0156
"60436190"	"2007-07-06"	4.9351
"60436190"	"2007-07-07"	5.0966
"60436190"	"2007-07-08"	4.8552
"60436190"	"2007-07-09"	5.0156
"60436190"	"2007-07-10"	4.8552
"60436190"	"2007-07-11"	5.0156
"60436190"	"2007-07-12"	4.6971
"60436190"	"2007-07-13"	4.8552
"60436190"	"2007-07-14"	4.6971
"60436190"	"2007-07-15"	4.8552
"60436190"	"2007-07-16"	4.6189
"60436190"	"2007-07-17"	4.8552
"60436190"	"2007-07-18"	4.6971
"60436190"	"2007-07-19"	4.8552
"60436190"	"2007-07-20"	4.6971
"60436190"	"2007-07-21"	4.8552
"60436190"	"2007-07-22"	4.8552
"60436190"	"2007-07-23"	4.8552
"60436190"	"2007-07-24"	4.6971
