"Cod_estacao"	"ano_hidro"	"maxima"	"minima"	"media"	"NAs"
60436190	2021	145.937	2.7524	10.5048856287425	31
60436190	2022	11.8776	2.9696	4.50444130434783	0
60443000	1978	118	10.8	26.7382075471698	0
60443000	1979	120	6.21	23.1410684931507	0
60443000	1980	115	7.97	22.7366120218579	0
60443000	1981	86.7	8.17	19.5100821917808	0
60443000	1982	187	5.31	21.3102739726027	0
60443000	1983	294	7.97	21.6473698630137	0
60443000	1984	70.5	6.77	13.6200273224044	0
60443000	1985	59.5	6.58	13.9883561643836	0
60443000	1986	44.2	4.8	11.5243287671233	0
60443000	1987	92.2	2.33	9.67816438356164	0
60443000	1988	95.5	4.8	23.4405464480874	0
60443000	1989	49.7	6.21	15.2927671232877	0
60443000	1990	118	6.21	20.6409863013699	0
60443000	1991	108	4.63	16.7881369863014	0
60443000	1992	63.9	8.17	12.5224183006536	213
60443000	1993	36	3.12	16.1015094339623	153
60443000	1994	77.2	5.84	16.688602739726	0
60443000	1995	37.8	0.968	10.2899616438356	0
60443000	1996	6.39	3.12	3.96052287581699	0
